"1011.3433","Radoslaw Szmytkowski","Rados{\l}aw Szmytkowski","Recurrence and differential relations for spherical spinors","LaTeX, 12 pages","J.Math.Chem.42:397-413,2007","10.1007/s10910-006-9110-0",,"math-ph hep-th math.MP nucl-th quant-ph","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We present a comprehensive table of recurrence and differential relations
obeyed by spin one-half spherical spinors (spinor spherical harmonics)
$\Omega_{\kappa\mu}(\mathbf{n})$ used in relativistic atomic, molecular, and
solid state physics, as well as in relativistic quantum chemistry. First, we
list finite expansions in the spherical spinor basis of the expressions
$\mathbf{A}\cdot\mathbf{B}\,\Omega_{\kappa\mu}(\mathbf{n})$ and
{$\mathbf{A}\cdot(\mathbf{B}\times\mathbf{C})\,
\Omega_{\kappa\mu}(\mathbf{n})$}, where $\mathbf{A}$, $\mathbf{B}$, and
$\mathbf{C}$ are either of the following vectors or vector operators:
$\mathbf{n}=\mathbf{r}/r$ (the radial unit vector), $\mathbf{e}_{0}$,
$\mathbf{e}_{\pm1}$ (the spherical, or cyclic, versors), $\boldsymbol{\sigma}$
(the $2\times2$ Pauli matrix vector),
$\hat{\mathbf{L}}=-i\mathbf{r}\times\boldsymbol{\nabla}I$ (the dimensionless
orbital angular momentum operator; $I$ is the $2\times2$ unit matrix),
$\hat{\mathbf{J}}=\hat{\mathbf{L}}+1/2\boldsymbol{\sigma}$ (the dimensionless
total angular momentum operator). Then, we list finite expansions in the
spherical spinor basis of the expressions
$\mathbf{A}\cdot\mathbf{B}\,F(r)\Omega_{\kappa\mu}(\mathbf{n})$ and
$\mathbf{A}\cdot(\mathbf{B}\times\mathbf{C})\,
F(r)\Omega_{\kappa\mu}(\mathbf{n})$, where at least one of the objects
$\mathbf{A}$, $\mathbf{B}$, $\mathbf{C}$ is the nabla operator
$\boldsymbol{\nabla}$, while the remaining ones are chosen from the set
$\mathbf{n}$, $\mathbf{e}_{0}$, $\mathbf{e}_{\pm1}$, $\boldsymbol{\sigma}$,
$\hat{\mathbf{L}}$, $\hat{\mathbf{J}}$.
","[{""version"":""v1"",""created"":""Mon, 15 Nov 2010 16:02:20 GMT""}]","2011-05-25"
"1011.3434","Tim Browning","S. Baier, T.D. Browning","Inhomogeneous cubic congruences and rational points on del Pezzo
  surfaces","65 pages",,,,"math.NT math.AG","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  For given non-zero integers a,b,q we investigate the density of integer
solutions (x,y) to the binary cubic congruence ax^2+by^3=0 (mod q). We use this
to establish the Manin conjecture for a singular del Pezzo surface of degree 2
defined over the rationals and to examine the distribution of elliptic curves
with square-free discriminant.
","[{""version"":""v1"",""created"":""Mon, 15 Nov 2010 16:05:39 GMT""},{""version"":""v2"",""created"":""Fri, 2 Sep 2011 08:29:57 GMT""}]","2011-09-05"
"1011.3435","Miguel Pereira-Santaella","Miguel Pereira-Santaella, Almudena Alonso-Herrero, Elena
  Jim\'enez-Bail\'on, George H. Rieke, Mar\'ia Santos-Lleo, Martin Ward","An X-ray Study of Local Infrared Bright Galaxies","5 pages, to appear in Highlights of Spanish Astrophysics VI,
  Proceedings of the IX Scientific Meeting of the Spanish Astronomical Society
  held on September 13-17, 2010, in Madrid, Spain",,,,"astro-ph.GA astro-ph.CO","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We are carrying out detailed study of the X-ray and infrared (IR) properties
of a sample of local (d < 70 Mpc) luminous infrared galaxies (LIRGs) using
XMM-Newton and Spitzer (imaging and spectroscopy). The main goal is to study
the extreme processes of star formation and/or active galactic nuclei (AGN)
taking place in this cosmologically important class of galaxies. In this
proceedings we present the preliminary results obtained from the analysis of
the XMM-Newton X-ray images and the X-ray spectral modeling.
","[{""version"":""v1"",""created"":""Mon, 15 Nov 2010 16:14:23 GMT""}]","2010-11-16"
"1011.3437","Zhenwei Yao","Zhenwei Yao and Mark Bowick","The shrinking instability of toroidal liquid droplets in the Stokes flow
  regime","6 pages, 7 figures","Eur. Phys. J. E (2011) 34: 32","10.1140/epje/i2011-11032-9",,"cond-mat.soft physics.flu-dyn","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We analyze the stability and dynamics of toroidal liquid droplets. In
addition to the Rayleigh instabilities akin to those of a cylindrical droplet
there is a shrinking instability that is unique to the topology of the torus
and dominates in the limit that the aspect ratio is near one (fat tori). We
first find an analytic expression for the pressure distribution inside the
droplet. We then determine the velocity field in the bulk fluid, in the Stokes
flow regime, by solving the biharmonic equation for the stream function. The
flow pattern in the external fluid is analyzed qualitatively by exploiting
symmetries. This elucidates the detailed nature of the shrinking mode and the
swelling of the cross-section following from incompressibility. Finally the
shrinking rate of fat toroidal droplets is derived by energy conservation.
","[{""version"":""v1"",""created"":""Mon, 15 Nov 2010 16:29:18 GMT""},{""version"":""v2"",""created"":""Sat, 19 Mar 2011 15:54:28 GMT""},{""version"":""v3"",""created"":""Wed, 30 Mar 2011 19:48:09 GMT""}]","2015-03-17"
"1011.3438","Dong Liu","Dong Liu","Classification of Harish-Chandra modules over some Lie algebras related
  to the Virasoro algebra","Latex, 13 pages, Journal of Algebra 2015, In Press. arXiv admin note:
  text overlap with arXiv:math/0510194 by other authors",,,,"math.RT math-ph math.MP math.QA math.RA","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  In this paper, we provide a uniform method to thoroughly classify all
Harish-Chandra modules over some Lie algebras related to the Virasoro algebras.
We first classify such modules over the Lie algebra $W(\varrho)[s]$ for
$s=0,\frac12$. With this result and method, we can also do such works for some
Lie algebras and superconformal algebras related to the Virasoro algebra,
including the several kinds of Schr\""odinger-Virasoro Lie algebras, which are
open up to now.
","[{""version"":""v1"",""created"":""Mon, 15 Nov 2010 16:32:42 GMT""},{""version"":""v2"",""created"":""Mon, 20 Dec 2010 13:33:03 GMT""},{""version"":""v3"",""created"":""Sun, 6 Feb 2011 12:56:29 GMT""},{""version"":""v4"",""created"":""Sat, 31 Mar 2012 02:14:03 GMT""},{""version"":""v5"",""created"":""Thu, 29 Aug 2013 07:30:58 GMT""},{""version"":""v6"",""created"":""Tue, 27 Oct 2015 02:19:02 GMT""}]","2015-11-27"
"1011.3439","Anton S. Galaev Dr.","Dmitri V. Alekseevsky and Anton S. Galaev","Two-symmetric Lorentzian manifolds","11 pages, the final version","Journal of Geometry and Physics 61 (2011) 2331--2340","10.1016/j.geomphys.2011.07.005",,"math.DG","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We classify two-symmetric Lorentzian manifolds using methods of the theory of
holonomy groups. These manifolds are exhausted by a special type of pp-waves
and, like the symmetric Cahen-Wallach spaces, they have commutative holonomy.
","[{""version"":""v1"",""created"":""Mon, 15 Nov 2010 16:34:21 GMT""},{""version"":""v2"",""created"":""Tue, 25 Jan 2011 19:17:08 GMT""},{""version"":""v3"",""created"":""Thu, 18 Aug 2011 16:51:13 GMT""}]","2015-05-20"
"1011.3440","Nicolas Gisin","Nicolas Gisin","Are There Quantum Effects Coming from Outside Space-time? Nonlocality,
  free will and ""no many-worlds""","Talk presented at the meeting ""Is Science Compatible with Our Desire
  for Freedom?"" organised by the Social Trends Institute at the IESE Business
  School in Barcelona, Octobre 2010",,"10.1007/978-1-4614-5212-6_3","in Is Science Compatible with Free Will?, Eds. Antoine Suarez &
  Peter Adams, Springer, pp 23-39 (2012)","quant-ph","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  Observing the violation of Bell's inequality tells us something about all
possible future theories: they must all predict nonlocal correlations. Hence
Nature is nonlocal. After an elementary introduction to nonlocality and a brief
review of some recent experiments, I argue that Nature's nonlocality together
with the existence of free will is incompatible with the many-worlds view of
quantum physics.
","[{""version"":""v1"",""created"":""Mon, 15 Nov 2010 16:35:04 GMT""}]","2018-07-23"
"1011.3441","Djamal Belazzougui","Djamal Belazzougui","Worst case efficient single and multiple string matching in the Word-RAM
  model","Full version of an extended abstract presented at IWOCA 2010
  conference",,"10.1007/978-3-642-19222-7_10",,"cs.DS","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  In this paper, we explore worst-case solutions for the problems of single and
multiple matching on strings in the word RAM model with word length w. In the
first problem, we have to build a data structure based on a pattern p of length
m over an alphabet of size sigma such that we can answer to the following
query: given a text T of length n, where each character is encoded using
log(sigma) bits return the positions of all the occurrences of p in T (in the
following we refer by occ to the number of reported occurrences). For the
multi-pattern matching problem we have a set S of d patterns of total length m
and a query on a text T consists in finding all positions of all occurrences in
T of the patterns in S. As each character of the text is encoded using log
sigma bits and we can read w bits in constant time in the RAM model, we assume
that we can read up to (w/log sigma) consecutive characters of the text in one
time step. This implies that the fastest possible query time for both problems
is O((n(log sigma/w)+occ). In this paper we present several different results
for both problems which come close to that best possible query time. We first
present two different linear space data structures for the first and second
problem: the first one answers to single pattern matching queries in time
O(n(1/m+log sigma/w)+occ) while the second one answers to multiple pattern
matching queries to O(n((log d+log y+log log d)/y+log sigma/w)+occ) where y is
the length of the shortest pattern in the case of multiple pattern-matching. We
then show how a simple application of the four russian technique permits to get
data structures with query times independent of the length of the shortest
pattern (the length of the only pattern in case of single string matching) at
the expense of using more space.
","[{""version"":""v1"",""created"":""Mon, 15 Nov 2010 16:37:43 GMT""},{""version"":""v2"",""created"":""Fri, 14 Jan 2011 13:01:03 GMT""}]","2015-05-20"
"1011.3442","Tamas Biro S","Tamas S. Biro","Non-Extensive Black Hole Thermodynamics Estimate for Power-Law Particle
  Spectra",,,,,"hep-ph gr-qc","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We point out that by considering the Hawking-Bekenstein entropy of
Schwarzschild black hole horizons as a non-extensive Tsallis entropy, its
additive formal logarithm, coinciding with the Renyi entropy, generates an
equation of state with positive heat capacity above a threshold energy. Based
on this, the edge of stability is conjectured to be trans-Planckian, i.e. being
in the quantum range. From this conjecture an estimate arises for the
q-parameter in the Renyi entropy, (q=2/pi^2), also manifested in the canonical
power-law distribution of high energy particles (q ~ 1.2 for quark matter).
","[{""version"":""v1"",""created"":""Mon, 15 Nov 2010 16:39:30 GMT""}]","2010-11-16"
"1011.3443","Simone Cifani","Simone Cifani, Espen R. Jakobsen","On the spectral vanishing viscosity method for periodic fractional
  conservation laws",,"Math. Comp. 82 (2013) 1489-1514",,,"math.NA math.AP","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We introduce and analyze a spectral vanishing viscosity approximation of
periodic fractional conservation laws. The fractional part of these equations
can be a fractional Laplacian or other non-local operators that are generators
of pure jump L\'{e}vy processes. To accommodate for shock solutions, we first
extend to the periodic setting the Kru\v{z}kov-Alibaud entropy formulation and
prove well-posedness. Then we introduce the numerical method, which is a
non-linear Fourier Galerkin method with an additional spectral viscosity term.
This type of approximation was first introduced by Tadmor for pure conservation
laws. We prove that this {\em non-monotone} method converges to the entropy
solution of the problem, that it retains the spectral accuracy of the Fourier
method, and that it diagonalizes the fractional term reducing dramatically the
computational cost induced by this term. We also derive a robust $L^1$-error
estimate, and provide numerical experiments for the fractional Burgers'
equation.
","[{""version"":""v1"",""created"":""Mon, 15 Nov 2010 16:45:13 GMT""}]","2013-05-07"
